time,temperature,windspeed,winddirection
2021-04-17T00:00,4.7,7.7,281
2021-04-17T01:00,4.9,8.1,291
2021-04-17T02:00,4.9,8.0,278
2021-04-17T03:00,5.1,6.8,288
2021-04-17T04:00,5.1,6.7,306
2021-04-17T05:00,5.2,4.6,342
2021-04-17T06:00,5.6,3.8,41
2021-04-17T07:00,5.9,3.1,54
2021-04-17T08:00,7.0,4.6,72
2021-04-17T09:00,8.2,3.7,79
2021-04-17T10:00,7.7,3.6,53
2021-04-17T11:00,8.5,3.0,14
2021-04-17T12:00,11.2,3.7,29
2021-04-17T13:00,11.0,5.8,60
2021-04-17T14:00,12.2,6.3,66
2021-04-17T15:00,12.4,7.1,66
2021-04-17T16:00,12.3,4.8,63
2021-04-17T17:00,11.8,4.9,73
2021-04-17T18:00,10.9,1.6,153
2021-04-17T19:00,9.7,1.8,270
2021-04-17T20:00,8.9,3.3,311
2021-04-17T21:00,8.3,4.6,309
2021-04-17T22:00,7.6,4.7,360
2021-04-17T23:00,7.1,5.6,63
2021-04-18T00:00,6.5,5.4,90
2021-04-18T01:00,5.8,6.9,133
2021-04-18T02:00,5.1,7.9,150
2021-04-18T03:00,4.8,6.7,144
2021-04-18T04:00,5.3,6.9,129
2021-04-18T05:00,5.6,7.7,127
2021-04-18T06:00,5.5,7.9,120
2021-04-18T07:00,6.5,8.4,121
2021-04-18T08:00,7.8,8.2,119
2021-04-18T09:00,9.4,8.7,120
2021-04-18T10:00,10.8,8.7,120
2021-04-18T11:00,12.3,8.4,121
2021-04-18T12:00,13.5,7.7,118
2021-04-18T13:00,14.2,8.4,97
2021-04-18T14:00,14.3,11.4,72
2021-04-18T15:00,12.9,11.9,61
2021-04-18T16:00,12.5,8.2,41
2021-04-18T17:00,12.3,8.2,29
2021-04-18T18:00,10.9,9.9,44
2021-04-18T19:00,11.2,5.9,11
2021-04-18T20:00,10.2,6.5,354
2021-04-18T21:00,9.6,7.6,335
2021-04-18T22:00,9.0,8.1,328
2021-04-18T23:00,8.5,8.4,335
2021-04-19T00:00,8.1,8.0,324
2021-04-19T01:00,7.6,7.2,307
2021-04-19T02:00,7.2,6.1,315
2021-04-19T03:00,6.9,4.7,328
2021-04-19T04:00,6.8,4.0,360
2021-04-19T05:00,6.7,5.4,53
2021-04-19T06:00,7.5,7.1,75
2021-04-19T07:00,9.4,10.8,94
2021-04-19T08:00,11.6,12.0,99
2021-04-19T09:00,13.4,13.3,103
2021-04-19T10:00,14.6,14.3,102
2021-04-19T11:00,15.5,14.9,110
2021-04-19T12:00,15.7,14.6,110
2021-04-19T13:00,15.5,14.7,115
2021-04-19T14:00,15.8,12.6,117
2021-04-19T15:00,16.0,14.0,116
2021-04-19T16:00,14.7,13.2,125
2021-04-19T17:00,13.7,11.3,107
2021-04-19T18:00,13.0,9.5,99
2021-04-19T19:00,11.6,6.7,74
2021-04-19T20:00,11.7,6.9,62
2021-04-19T21:00,11.4,9.2,59
2021-04-19T22:00,10.5,8.3,85
2021-04-19T23:00,10.1,5.9,104
2021-04-20T00:00,9.2,6.9,96
2021-04-20T01:00,8.5,6.6,81
2021-04-20T02:00,7.8,7.2,84
2021-04-20T03:00,7.5,6.1,87
2021-04-20T04:00,7.2,6.2,80
2021-04-20T05:00,6.9,6.0,73
2021-04-20T06:00,7.9,5.3,62
2021-04-20T07:00,9.6,5.8,60
2021-04-20T08:00,11.4,6.1,50
2021-04-20T09:00,12.8,6.9,39
2021-04-20T10:00,13.9,8.2,23
2021-04-20T11:00,14.8,8.4,25
2021-04-20T12:00,15.6,7.3,33
2021-04-20T13:00,15.9,5.5,23
2021-04-20T14:00,15.7,4.5,29
2021-04-20T15:00,15.3,4.2,20
2021-04-20T16:00,14.9,2.6,34
2021-04-20T17:00,14.9,2.5,262
2021-04-20T18:00,14.4,3.3,283
2021-04-20T19:00,13.0,5.7,305
2021-04-20T20:00,12.4,7.1,336
2021-04-20T21:00,11.6,5.3,332
2021-04-20T22:00,10.6,5.9,313
2021-04-20T23:00,9.7,7.3,290
2021-04-21T00:00,9.1,6.5,270
2021-04-21T01:00,9.1,8.7,265
2021-04-21T02:00,8.6,8.8,258
2021-04-21T03:00,8.0,8.3,252
2021-04-21T04:00,7.5,8.1,257
2021-04-21T05:00,7.6,7.5,253
2021-04-21T06:00,8.0,9.0,268
2021-04-21T07:00,9.3,10.1,276
2021-04-21T08:00,10.8,12.3,273
2021-04-21T09:00,12.4,13.3,268
2021-04-21T10:00,13.9,14.8,271
2021-04-21T11:00,15.1,16.9,272
2021-04-21T12:00,15.7,18.4,273
2021-04-21T13:00,16.0,18.8,267
2021-04-21T14:00,16.6,19.1,269
2021-04-21T15:00,15.9,19.1,268
2021-04-21T16:00,14.9,17.0,264
2021-04-21T17:00,13.8,18.6,285
2021-04-21T18:00,13.1,12.5,288
2021-04-21T19:00,12.4,9.0,265
2021-04-21T20:00,12.2,9.0,254
2021-04-21T21:00,10.7,9.9,251
2021-04-21T22:00,9.9,10.2,247
2021-04-21T23:00,9.7,10.2,231
2021-04-22T00:00,8.9,12.8,260
2021-04-22T01:00,8.1,13.1,254
2021-04-22T02:00,7.6,12.9,300
2021-04-22T03:00,6.9,15.2,306
2021-04-22T04:00,6.1,18.2,304
2021-04-22T05:00,5.6,16.3,295
2021-04-22T06:00,5.5,12.6,270
2021-04-22T07:00,6.1,14.4,269
2021-04-22T08:00,6.4,17.4,276
2021-04-22T09:00,6.6,20.6,275
2021-04-22T10:00,7.0,20.2,273
2021-04-22T11:00,9.0,21.7,277
2021-04-22T12:00,10.0,23.5,274
2021-04-22T13:00,9.5,26.1,282
2021-04-22T14:00,9.4,25.5,279
2021-04-22T15:00,9.5,23.4,270
2021-04-22T16:00,9.8,22.0,259
2021-04-22T17:00,9.0,23.2,277
2021-04-22T18:00,7.5,21.0,277
2021-04-22T19:00,6.4,16.6,269
